ScientificName,DecimalLatitude,DecimalLongitude
Poa pratensis,62.98,-152.12
Acomastylis rossii,62.98,-152.12
Androsace chamaejasme,68.46,-149.53
Ranunculus pedatifidus ssp. affinis,68.46,-149.53
Potentilla nivea,68.46,-149.53
Carex enanderi,52.83,173.23
Carex saxatilis,52.83,173.23
,52.83,173.23
Iris setosa,63.13,179.5
Orthilia secunda,64.43,-146.8
Hedysarum mackenzii,64.33,-150.25
Astragalus williamsii,64.25,-150.25
Dryas drummondii,64.33,-150.25
Oxytropis campestris,64.33,-150.25
Artemisia arctica ssp. ehrendorferi,66.75,-179
Allium schoenoprasum,64.8,-147.76
Stellaria borealis,57.7,-153.88
Plantago maritima,57.7,-153.88
Luzula multiflora,57.7,-153.88
Polemonium pulcherrimum,57.7,-153.88
Arnica chamissonis,57.7,-153.88
Poa palustris,57.7,-153.88
Mimulus guttatus,57.7,-153.88
Platanthera dilatata,57.7,-153.88
Campanula rotundifolia,57.7,-153.88
Rumex fenestratus,57.7,-153.88
Epilobium ciliatum ssp. glandulosum,57.7,-153.88
Dodecatheon pulchellum,57.7,-153.88
Poa stenantha,57.7,-153.88
Epilobium luteum,57.7,-153.88
Cornus unalaschkensis,58.3,-134.4
Braya glabella,64.85,-165.23
Poa alpina,64.85,-165.23
Rhododendron lapponicum,64.85,-165.23
Veratrum album ssp. oxysepalum,64.85,-165.23
Oxytropis borealis,64.85,-165.23
Acomastylis rossii,64.85,-165.23
Draba longipes,64.85,-165.23
Potentilla biflora,64.85,-165.23
Anemone narcissiflora,64.85,-165.23
Smelowskia calycina,64.85,-165.23
Anemone drummondii,64.85,-165.23
Lesquerella arctica,64.85,-165.23
Angelica lucida,64.85,-165.23
Ledum palustre ssp. decumbens,64.85,-165.23
Dodecatheon frigidum,64.85,-165.23
Torularia humilis,64.85,-165.23
Erigeron humilis,64.85,-165.23
Torularia humilis,64.85,-165.23
Androsace chamaejasme,64.85,-165.23
Spiraea stevenii,64.85,-165.23
Coeloglossum viride,64.85,-165.23
Silene uralensis ssp. uralensis,64.85,-165.23
Rumex arcticus,64.85,-165.23
Erigeron hyperboreus,64.85,-165.23
Parrya nudicaulis ssp. septentrionalis,64.85,-165.23
Spiraea stevenii,64.85,-165.23
Dryas integrifolia,64.85,-165.23
Alopecurus borealis,64.85,-165.23
Rumex acetosa ssp. lapponicus,64.85,-165.23
Saxifraga hirculus,64.85,-165.23
Luzula multiflora,64.85,-165.23
Cassiope tetragona ssp. tetragona,64.85,-165.23
Thalictrum alpinum,64.85,-165.23
Papaver macounii,64.85,-165.23
Therorhodion glandulosum,64.85,-165.23
Aconitum delphiniifolium,63.33,-150.33
Silene uralensis ssp. uralensis,69.35,-145.266667
Geranium erianthum,58.31,-134.38
Campanula rotundifolia,58.31,-134.38
Cornus unalaschkensis,58.31,-134.38
Prunella vulgaris,58.31,-134.38
Adiantum pedatum,58.31,-134.38
Silene acaulis,58.31,-134.38
Dodecatheon pulchellum,58.31,-134.38
Heuchera glabra,58.31,-134.38
Carex lugens,70.93,179.61
Dryas octopetala,64.41,-172.5
Saxifraga radiata,68.45,-138.75
Poa arctica,70.4,-148.58
Oxytropis sheldonensis,62.73,-131.08
Draba cana,63.01,-151.65
Gentianella tenella,63.01,-151.65
Erigeron eriocephalus,63.01,-151.65
Oxytropis viscida,63.01,-151.65
Pedicularis verticillata,63.01,-151.65
Smelowskia borealis,63.01,-151.65
Papaver mcconnellii,63.01,-151.65
Pedicularis sudetica,63.01,-151.65
Salix rotundifolia ssp. dodgeana,63.01,-151.65
Draba cinerea,63.01,-151.65
Carex laxa,62.22,-140.69
Anemone multiceps,68.097778,-165.754167
Stuckenia filiformis ssp. alpina,59.96,-162.75
Potamogeton pusillus ssp. tenuissimus,66.8,-144.11
Sagittaria cuneata,66.8,-144.11
Polemonium villosissimum,56.9037,-158.133667
Taraxacum holmenianum,81.666667,-71.383333
Lupinus arcticus,60.95,-135.483333
